FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
288        2     3     6344         6344         0.05           100.00%
289        3     2     9912         9912         0.06           100.00%
290        3     2     7349         7349         0.05           100.00%
291        3     2     8796         8796         0.06           100.00%
292        2     3     7141         7141         0.05           100.00%
293        2     3     11245        11245        0.07           100.00%
294        2     3     11146        11146        0.08           100.00%
295        3     2     387488       387488       1.75           100.00%
296        2     3     12569        12569        0.07           100.00%
297        2     3     7660         7660         0.05           100.00%
298        3     2     6671         6671         0.05           100.00%
299        2     3     8721         8721         0.06           100.00%
300        3     2     11637        11637        0.08           100.00%
301        3     2     6627         6627         0.04           100.00%
302        2     3     24457        24457        0.15           100.00%
303        3     2     13632        13632        0.07           100.00%
304        2     3     9435         9435         0.06           100.00%
305        2     3     13517        13517        0.08           100.00%
306        3     2     24089        24089        0.14           100.00%
307        3     2     12618        12618        0.08           100.00%
308        2     3     39785        39785        0.22           100.00%
309        3     2     5407         5407         0.03           100.00%
310        2     3     8728         8728         0.06           100.00%
311        2     3     8154         8154         0.05           100.00%
312        3     2     6322         6322         0.05           100.00%
313        3     2     7107         7107         0.05           100.00%
314        3     2     17523        17523        0.11           100.00%
315        3     2     8423         8423         0.06           100.00%
316        3     2     10935        10935        0.07           100.00%
317        2     3     4992         4992         0.03           100.00%
318        2     3     5840         5840         0.04           100.00%
319        3     2     579741       579741       2.69           100.00%
320        3     2     25071        25071        1.04           100.00%
321        2     3     31376        31376        0.19           100.00%
322        3     2     9008         9008         0.05           100.00%
323        3     2     8782         8782         0.06           100.00%
324        3     2     6783         6783         0.05           100.00%
325        3     2     9722         9722         0.06           100.00%
326        2     3     6060         6060         0.04           100.00%
327        2     3     7322         7322         0.05           100.00%
328        2     3     10592        10592        0.06           100.00%
329        2     3     23688        23688        0.14           100.00%
330        2     3     7799         7799         0.04           100.00%
331        2     3     12028        12028        0.08           100.00%
332        3     2     5085         5085         0.04           100.00%
333        3     2     121370       121370       0.62           100.00%
334        2     3     10968        10968        0.07           100.00%
335        3     2     9879         9879         0.06           100.00%
336        3     2     5879         5879         0.04           100.00%
337        3     2     253530       253530       1.12           100.00%
338        2     3     15095        15095        0.10           100.00%
339        2     3     7051         7051         0.05           100.00%
340        2     3     49510        49510        0.30           100.00%
341        2     3     6751         6751         0.26           100.00%
342        3     2     7483         7483         0.05           100.00%
343        3     2     24934        24934        0.15           100.00%
344        2     3     9467         9467         0.07           100.00%
345        3     2     10410        10410        0.06           100.00%
346        2     3     14555        14555        0.10           100.00%
347        3     2     6730         6730         0.05           100.00%
348        3     2     6886         6886         0.05           100.00%
349        2     3     4800         4800         0.03           100.00%
350        2     3     7671         7671         0.05           100.00%
351        3     2     19091        19091        0.12           100.00%
352        2     3     6460         6460         0.05           100.00%
353        2     3     5449         5449         0.04           100.00%
354        3     2     103980       103980       0.52           100.00%
355        2     3     91861        91861        0.46           100.00%
356        3     2     32467        32467        0.19           100.00%
357        2     3     7803         7803         0.05           100.00%
358        3     2     78062        78062        0.37           100.00%
359        3     2     6303         6303         0.05           100.00%
360        3     2     7376         7376         0.05           100.00%
361        3     2     26381        26381        0.16           100.00%
362        2     3     24562        24562        0.15           100.00%
363        2     3     25817        25817        0.16           100.00%
364        3     2     27606        27606        0.14           100.00%
365        3     2     5583         5583         0.05           100.00%
366        3     2     13820        13820        0.08           100.00%
367        3     2     6804         6804         0.05           100.00%
368        3     2     5623         5623         0.04           100.00%
369        3     2     16564        16564        0.11           100.00%
370        3     2     5059         5059         0.04           100.00%
371        2     3     10769        10769        0.06           100.00%
372        3     2     1283442      1283442      5.69           100.00%
373        3     2     6454         6454         0.05           100.00%
374        3     2     15957        15957        0.10           100.00%
375        3     2     14932        14932        0.10           100.00%
376        3     2     12714        12714        0.07           100.00%
377        2     3     6674         6674         0.04           100.00%
378        3     2     32269        32269        0.19           100.00%
379        2     3     5380         5380         0.04           100.00%
380        2     3     8472         8472         0.06           100.00%
381        2     3     228981       228981       0.99           100.00%
382        3     2     9666         9666         0.06           100.00%
383        2     3     6191         6191         0.04           100.00%
384        3     2     22022        22022        0.13           100.00%
385        3     2     12319        12319        0.08           100.00%
386        3     2     8484         8484         0.06           100.00%
387        3     2     7032         7032         0.05           100.00%
388        3     2     10007        10007        0.06           100.00%
389        2     3     7068         7068         0.05           100.00%
390        3     2     5578         5578         0.04           100.00%
391        2     3     10687        10687        0.06           100.00%
392        2     3     6615         6615         0.04           100.00%
393        2     3     14507        14507        0.08           100.00%
394        3     2     19873        19873        0.12           100.00%
395        2     3     5948         5948         0.04           100.00%
396        3     2     5098         5098         0.03           100.00%
397        2     3     7679         7679         0.05           100.00%
398        3     2     31899        31899        0.18           100.00%
399        3     2     14583        14583        0.08           100.00%
400        3     2     7516         7516         0.05           100.00%
401        2     3     16504        16504        0.10           100.00%
402        2     3     6927         6927         0.05           100.00%
403        3     2     6924         6924         0.05           100.00%
404        3     2     6661         6661         0.04           100.00%
405        2     3     7202         7202         0.05           100.00%
406        3     2     7500         7500         0.06           100.00%
407        2     3     9424         9424         0.06           100.00%
408        2     3     15093        15093        0.10           100.00%
409        2     3     17837        17837        0.10           100.00%
410        3     2     43748        43748        0.22           100.00%
411        2     3     6006         6006         0.04           100.00%
412        2     3     11832        11832        0.08           100.00%
413        2     3     106081       106081       0.53           100.00%
414        2     3     4949         4949         0.21           100.00%
415        3     2     6851         6851         0.04           100.00%
416        2     3     6602         6602         0.05           100.00%
417        2     3     10807        10807        0.06           100.00%
418        3     2     46684        46684        0.24           100.00%
419        3     2     27882        27882        0.15           100.00%
420        3     2     14840        14840        0.08           100.00%
421        2     3     5376         5376         0.04           100.00%
422        3     2     22735        22735        0.14           100.00%
423        2     3     21569        21569        0.13           100.00%
424        2     3     274723       274723       1.16           100.00%
425        2     3     52784        52784        0.27           100.00%
426        2     3     8854         8854         0.06           100.00%
427        3     2     6498         6498         0.04           100.00%
428        2     3     12286        12286        0.07           100.00%
429        2     3     8017         8017         0.05           100.00%
430        2     3     22068        22068        0.14           100.00%
431        3     2     5046         5046         0.03           100.00%
432        2     3     5329         5329         0.03           100.00%
433        2     3     9743         9743         0.07           100.00%
434        3     2     9902         9902         0.08           100.00%
435        2     3     7346         7346         0.05           100.00%
436        2     3     6696         6696         0.05           100.00%
437        3     2     5437         5437         0.03           100.00%
438        3     2     26113        26113        0.16           100.00%
439        2     3     26741        26741        0.16           100.00%
440        2     3     5041         5041         0.03           100.00%
441        3     2     6598         6598         0.05           100.00%
442        3     2     11430        11430        0.07           100.00%
443        2     3     48642        48642        0.23           100.00%
444        2     3     4880         4880         0.03           100.00%
445        3     2     22582        22582        0.15           100.00%
446        2     3     5403         5403         0.03           100.00%
447        2     3     16887        16887        0.11           100.00%
448        3     2     5633         5633         0.04           100.00%
449        3     2     35803        35803        0.18           100.00%
450        2     3     46691        46691        0.26           100.00%
451        3     2     14921        14921        0.10           100.00%
452        2     3     5935         5935         0.04           100.00%
453        2     3     10453        10453        0.06           100.00%
454        3     2     5648         5648         0.04           100.00%
455        3     2     6299         6299         0.05           100.00%
456        2     3     4816         4816         0.04           100.00%
457        2     3     6842         6842         0.04           100.00%
458        2     3     5752         5752         0.05           100.00%
459        2     3     7120         7120         0.05           100.00%
460        3     2     9525         9525         0.06           100.00%
461        2     3     15058        15058        0.09           100.00%
462        3     2     7785         7785         0.05           100.00%
463        3     2     114286       114286       0.54           100.00%
464        2     3     5139         5139         0.03           100.00%
465        2     3     9789         9789         0.07           100.00%
466        3     2     5291         5291         0.04           100.00%
467        3     2     27584        27584        0.16           100.00%
468        3     2     34678        34678        0.20           100.00%
469        3     2     5752         5752         0.04           100.00%
470        2     3     6168         6168         0.05           100.00%
471        2     3     4838         4838         0.03           100.00%
472        2     3     6543         6543         0.04           100.00%
473        2     3     21996        21996        0.13           100.00%
474        2     3     7417         7417         0.06           100.00%
475        2     3     6482         6482         0.05           100.00%
476        3     2     6076         6076         0.04           100.00%
477        3     2     5623         5623         0.04           100.00%
478        2     3     8842         8842         0.06           100.00%
479        2     3     45501        45501        0.23           100.00%
480        2     3     65703        65703        0.35           100.00%
481        2     3     13105        13105        0.08           100.00%
482        3     2     23726        23726        0.16           100.00%
483        3     2     4981         4981         0.04           100.00%
484        2     3     36053        36053        0.23           100.00%
485        3     2     11870        11870        0.07           100.00%
486        3     2     6257         6257         0.05           100.00%
487        2     3     5596         5596         0.05           100.00%
488        2     3     5344         5344         0.03           100.00%
489        3     2     11952        11952        0.07           100.00%
490        3     2     869465       869465       3.82           100.00%
491        2     3     11694        11694        0.38           100.00%
492        2     3     73468        73468        0.35           100.00%
493        2     3     16514        16514        0.12           100.00%
494        3     2     4918         4918         0.03           100.00%
495        2     3     6978         6978         0.04           100.00%
496        3     2     8151         8151         0.06           100.00%
497        2     3     35651        35651        0.21           100.00%
498        2     3     6780         6780         0.05           100.00%
499        2     3     10656        10656        0.07           100.00%
500        3     2     5092         5092         0.04           100.00%
501        2     3     10033        10033        0.08           100.00%
502        3     2     6571         6571         0.05           100.00%
503        3     2     10506        10506        0.07           100.00%
504        3     2     22012        22012        0.14           100.00%
505        3     2     17152        17152        0.12           100.00%
506        3     2     8073         8073         0.05           100.00%
507        3     2     11869        11869        0.08           100.00%
508        2     3     10595        10595        0.05           100.00%
509        2     3     5431         5431         0.03           100.00%
510        3     2     28634        28634        0.16           100.00%
511        2     3     9323         9323         0.07           100.00%
512        3     2     10791        10791        0.06           100.00%
513        3     2     8906         8906         0.06           100.00%
514        3     2     12555        12555        0.08           100.00%
515        2     3     12601        12601        0.08           100.00%
516        2     3     12603        12603        0.08           100.00%
517        2     3     6049         6049         0.05           100.00%
518        3     2     5109         5109         0.03           100.00%
519        3     2     7255         7255         0.04           100.00%
520        2     3     6170         6170         0.05           100.00%
521        2     3     120753       120753       0.53           100.00%
522        3     2     8669         8669         0.05           100.00%
523        3     2     5009         5009         0.03           100.00%
524        2     3     5945         5945         0.04           100.00%
525        3     2     5086         5086         0.04           100.00%
526        3     2     7713         7713         0.06           100.00%
527        2     3     7986         7986         0.06           100.00%
528        2     3     8630         8630         0.07           100.00%
529        2     3     5229         5229         0.04           100.00%
530        3     2     10279        10279        0.06           100.00%
531        2     3     5265         5265         0.04           100.00%
532        3     2     13106        13106        0.08           100.00%
533        3     2     92171        92171        0.44           100.00%
534        3     2     22056        22056        0.12           100.00%
535        3     2     6827         6827         0.05           100.00%
536        2     3     6412         6412         0.04           100.00%
537        3     2     156116       156116       0.71           100.00%
538        3     2     15600        15600        0.10           100.00%
539        3     2     16518        16518        0.10           100.00%
540        3     2     8428         8428         0.05           100.00%
541        3     2     14248        14248        0.09           100.00%
542        2     3     6829         6829         0.04           100.00%
543        3     2     23263        23263        0.12           100.00%
544        3     2     10485        10485        0.06           100.00%
545        3     2     7969         7969         0.05           100.00%
546        3     2     13823        13823        0.09           100.00%
547        2     3     6459         6459         0.04           100.00%
548        2     3     8300         8300         0.05           100.00%
549        3     2     46673        46673        0.23           100.00%
550        3     2     11339        11339        0.06           100.00%
551        3     2     41015        41015        0.22           100.00%
552        3     2     6684         6684         0.05           100.00%
553        3     2     5214         5214         0.03           100.00%
554        2     3     34964        34964        0.21           100.00%
555        2     3     4921         4921         0.03           100.00%
556        2     3     6738         6738         0.04           100.00%
557        3     2     5491         5491         0.03           100.00%
558        3     2     5946         5946         0.05           100.00%
559        3     2     10055        10055        0.07           100.00%
560        2     3     5038         5038         0.03           100.00%
561        2     3     8515         8515         0.05           100.00%
562        2     3     7340         7340         0.05           100.00%
563        3     2     9502         9502         0.05           100.00%
564        3     2     8291         8291         0.06           100.00%
565        3     2     25900        25900        0.16           100.00%
566        3     2     5117         5117         0.03           100.00%
567        2     3     6934         6934         0.04           100.00%
568        3     2     17038        17038        0.11           100.00%
569        3     2     7113         7113         0.05           100.00%
570        2     3     11800        11800        0.08           100.00%
571        3     2     39660        39660        0.20           100.00%
572        3     2     6747         6747         0.04           100.00%
573        2     3     26412        26412        0.15           100.00%
574        2     3     6941         6941         0.05           100.00%
575        3     2     20872        20872        0.15           100.00%
576        2     3     16578        16578        0.10           100.00%
577        3     2     18177        18177        0.11           100.00%
578        2     3     33203        33203        0.18           100.00%
