FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
230        3     15    22431        22431        0.25           100.00%
231        11    3     12142        12142        0.10           100.00%
232        11    6     9300         9300         0.07           100.00%
233        10    5     8742         8742         0.06           100.00%
234        13    2     32573        32573        0.23           100.00%
235        8     16    125602       125602       1.10           100.00%
236        17    9     53588        53588        0.45           100.00%
237        16    4     6611         6611         0.20           100.00%
238        3     15    6860         6860         0.06           100.00%
239        13    2     30013        30013        0.21           100.00%
240        12    6     7526         7526         0.06           100.00%
241        15    3     4905         4905         0.03           100.00%
242        10    7     10351        10351        0.07           100.00%
243        11    2     55088        55088        0.41           100.00%
244        5     10    4793         4793         0.04           100.00%
245        3     17    116233       116233       0.86           100.00%
246        2     17    4912         4912         0.04           100.00%
247        10    7     5864         5864         0.07           100.00%
248        2     13    10888        10888        0.08           100.00%
249        7     17    62802        62802        0.48           100.00%
250        4     13    8769         8769         0.08           100.00%
251        4     10    5510         5510         0.04           100.00%
252        10    7     9180         9180         0.07           100.00%
253        11    6     6762         6762         0.06           100.00%
254        2     10    94502        94502        0.75           100.00%
255        12    2     6926         6926         0.07           100.00%
256        5     15    4764         4764         0.07           100.00%
257        6     13    21554        21554        0.24           100.00%
258        12    6     10525        10525        0.10           100.00%
259        2     10    51541        51541        0.39           100.00%
260        13    9     7302         7302         0.08           100.00%
261        13    2     10462        10462        0.08           100.00%
262        5     13    6305         6305         0.05           100.00%
263        2     10    6462         6462         0.05           100.00%
264        17    3     94794        94794        0.91           100.00%
265        2     13    8235         8235         0.11           100.00%
266        10    5     69626        69626        0.80           100.00%
267        4     15    5014         5014         0.04           100.00%
268        14    7     8701         8701         0.07           100.00%
269        6     13    723475       723475       7.46           100.00%
270        2     10    24383        24383        0.52           100.00%
271        15    8     4783         4783         0.04           100.00%
272        15    2     59099        59099        0.66           100.00%
273        10    5     6506         6506         0.27           100.00%
274        7     10    11122        11122        0.08           100.00%
275        10    3     9433         9433         0.09           100.00%
276        14    9     22586        22586        0.19           100.00%
277        17    9     14004        14004        0.11           100.00%
278        9     17    7226         7226         0.08           100.00%
279        11    2     6517         6517         0.05           100.00%
280        17    4     252498       252498       1.96           100.00%
281        16    3     5082         5082         0.59           100.00%
282        8     15    35224        35224        0.32           100.00%
283        9     12    6235         6235         0.05           100.00%
284        17    7     5890         5890         0.05           100.00%
285        9     14    23781        23781        0.23           100.00%
286        15    3     5640         5640         0.16           100.00%
287        13    4     18739        18739        0.20           100.00%
288        9     13    6344         6344         0.05           100.00%
