FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
223        1     97    0            50000        30000.00 (DNF) 0.00%
224        1     98    0            50000        30000.00 (DNF) 0.00%
225        1     99    0            50000        30000.00 (DNF) 0.00%
226        1     100   0            50000        30000.00 (DNF) 0.00%
227        1     101   0            50000        30000.00 (DNF) 0.00%
228        1     102   1380         50000        30000.00 (DNF) 2.76%
229        1     103   0            50000        30000.00 (DNF) 0.00%
230        1     104   0            50000        30000.00 (DNF) 0.00%
231        1     105   0            50000        30000.00 (DNF) 0.00%
232        1     106   0            50000        30000.00 (DNF) 0.00%
233        1     107   0            50000        30000.00 (DNF) 0.00%
234        1     108   0            50000        30000.00 (DNF) 0.00%
235        1     109   1380         50000        30000.00 (DNF) 2.76%
236        1     110   0            50000        30000.00 (DNF) 0.00%
237        1     111   0            50000        30000.00 (DNF) 0.00%
238        1     112   0            50000        30000.00 (DNF) 0.00%
239        1     113   0            50000        30000.00 (DNF) 0.00%
240        1     114   0            50000        30000.00 (DNF) 0.00%
241        1     115   0            50000        30000.00 (DNF) 0.00%
242        1     116   1380         50000        30000.00 (DNF) 2.76%
243        1     117   0            50000        30000.00 (DNF) 0.00%
244        1     118   0            50000        30000.00 (DNF) 0.00%
245        1     119   0            50000        30000.00 (DNF) 0.00%
246        1     120   0            50000        30000.00 (DNF) 0.00%
247        1     121   50000        50000        3052.81        100.00%
248        1     122   0            50000        30000.00 (DNF) 0.00%
249        1     123   0            50000        30000.00 (DNF) 0.00%
250        1     124   0            50000        30000.00 (DNF) 0.00%
251        1     125   0            50000        30000.00 (DNF) 0.00%
252        1     126   0            50000        30000.00 (DNF) 0.00%
253        1     127   0            50000        30000.00 (DNF) 0.00%
254        2     0     0            50000        30000.00 (DNF) 0.00%
255        2     1     0            50000        30000.00 (DNF) 0.00%
256        2     3     0            50000        30000.00 (DNF) 0.00%
257        2     4     0            50000        30000.00 (DNF) 0.00%
258        2     5     0            50000        30000.00 (DNF) 0.00%
259        2     6     2760         50000        30000.00 (DNF) 5.52%
260        2     7     0            50000        30000.00 (DNF) 0.00%
261        2     8     0            50000        30000.00 (DNF) 0.00%
262        2     9     0            50000        30000.00 (DNF) 0.00%
263        2     10    0            50000        30000.00 (DNF) 0.00%
264        2     11    0            50000        30000.00 (DNF) 0.00%
265        2     12    0            50000        30000.00 (DNF) 0.00%
266        2     13    0            50000        30000.00 (DNF) 0.00%
267        2     14    0            50000        30000.00 (DNF) 0.00%
268        2     15    0            50000        30000.00 (DNF) 0.00%
269        2     16    0            50000        30000.00 (DNF) 0.00%
270        2     17    0            50000        30000.00 (DNF) 0.00%
271        2     18    0            50000        30000.00 (DNF) 0.00%
272        2     19    0            50000        30000.00 (DNF) 0.00%
273        2     20    0            50000        30000.00 (DNF) 0.00%
274        2     21    0            50000        30000.00 (DNF) 0.00%
275        2     22    0            50000        30000.00 (DNF) 0.00%
276        2     23    0            50000        30000.00 (DNF) 0.00%
277        2     24    1380         50000        30000.00 (DNF) 2.76%
278        2     25    0            50000        30000.00 (DNF) 0.00%
279        2     26    0            50000        30000.00 (DNF) 0.00%
280        2     27    50000        50000        28981.06       100.00%
281        2     28    0            50000        30000.00 (DNF) 0.00%
282        2     29    0            50000        30000.00 (DNF) 0.00%
283        2     30    0            50000        30000.00 (DNF) 0.00%
284        2     31    0            50000        30000.00 (DNF) 0.00%
285        2     32    0            50000        30000.00 (DNF) 0.00%
286        2     33    0            50000        30000.00 (DNF) 0.00%
287        2     34    0            50000        30000.00 (DNF) 0.00%
288        2     35    0            50000        30000.00 (DNF) 0.00%
289        2     36    0            50000        30000.00 (DNF) 0.00%
290        2     37    0            50000        30000.00 (DNF) 0.00%
291        2     38    0            50000        30000.00 (DNF) 0.00%
292        2     39    0            50000        30000.00 (DNF) 0.00%
293        2     40    0            50000        30000.00 (DNF) 0.00%
294        2     41    1380         50000        30000.00 (DNF) 2.76%
295        2     42    0            50000        30000.00 (DNF) 0.00%
296        2     43    0            50000        30000.00 (DNF) 0.00%
297        2     44    0            50000        30000.00 (DNF) 0.00%
298        2     45    0            50000        30000.00 (DNF) 0.00%
299        2     46    0            50000        30000.00 (DNF) 0.00%
300        2     47    0            50000        30000.00 (DNF) 0.00%
301        2     48    0            50000        30000.00 (DNF) 0.00%
302        2     49    0            50000        30000.00 (DNF) 0.00%
303        2     50    0            50000        30000.00 (DNF) 0.00%
304        2     51    0            50000        30000.00 (DNF) 0.00%
305        2     52    50000        50000        2271.37        100.00%
306        2     53    0            50000        30000.00 (DNF) 0.00%
307        2     54    0            50000        30000.00 (DNF) 0.00%
308        2     55    50000        50000        2177.86        100.00%
309        2     56    1380         50000        30000.00 (DNF) 2.76%
310        2     57    0            50000        30000.00 (DNF) 0.00%
311        2     58    0            50000        30000.00 (DNF) 0.00%
312        2     59    0            50000        30000.00 (DNF) 0.00%
313        2     60    0            50000        30000.00 (DNF) 0.00%
314        2     61    0            50000        30000.00 (DNF) 0.00%
315        2     62    0            50000        30000.00 (DNF) 0.00%
316        2     63    0            50000        30000.00 (DNF) 0.00%
317        2     64    0            50000        30000.00 (DNF) 0.00%
318        2     65    0            50000        30000.00 (DNF) 0.00%
319        2     66    44160        50000        30000.00 (DNF) 88.32%
320        2     67    50000        50000        20574.22       100.00%
321        2     68    0            50000        30000.00 (DNF) 0.00%
322        2     69    0            50000        30000.00 (DNF) 0.00%
323        2     70    0            50000        30000.00 (DNF) 0.00%
324        2     71    0            50000        30000.00 (DNF) 0.00%
325        2     72    0            50000        30000.00 (DNF) 0.00%
326        2     73    0            50000        30000.00 (DNF) 0.00%
327        2     74    0            50000        30000.00 (DNF) 0.00%
328        2     75    0            50000        30000.00 (DNF) 0.00%
329        2     76    0            50000        30000.00 (DNF) 0.00%
330        2     77    1380         50000        30000.00 (DNF) 2.76%
331        2     78    0            50000        30000.00 (DNF) 0.00%
332        2     79    0            50000        30000.00 (DNF) 0.00%
333        2     80    0            50000        30000.00 (DNF) 0.00%
334        2     81    0            50000        30000.00 (DNF) 0.00%
335        2     82    0            50000        30000.00 (DNF) 0.00%
336        2     83    0            50000        30000.00 (DNF) 0.00%
337        2     84    0            50000        30000.00 (DNF) 0.00%
338        2     85    0            50000        30000.00 (DNF) 0.00%
339        2     86    0            50000        30000.00 (DNF) 0.00%
340        2     87    0            50000        30000.00 (DNF) 0.00%
341        2     88    0            50000        30000.00 (DNF) 0.00%
342        2     89    0            50000        30000.00 (DNF) 0.00%
343        2     90    0            50000        30000.00 (DNF) 0.00%
344        2     91    1380         50000        30000.00 (DNF) 2.76%
345        2     92    0            50000        30000.00 (DNF) 0.00%
346        2     93    1380         50000        30000.00 (DNF) 2.76%
347        2     94    0            50000        30000.00 (DNF) 0.00%
348        2     95    0            50000        30000.00 (DNF) 0.00%
349        2     96    0            50000        30000.00 (DNF) 0.00%
350        2     97    0            50000        30000.00 (DNF) 0.00%
351        2     98    0            50000        30000.00 (DNF) 0.00%
352        2     99    0            50000        30000.00 (DNF) 0.00%
353        2     100   0            50000        30000.00 (DNF) 0.00%
354        2     101   0            50000        30000.00 (DNF) 0.00%
355        2     102   0            50000        30000.00 (DNF) 0.00%
356        2     103   0            50000        30000.00 (DNF) 0.00%
357        2     104   0            50000        30000.00 (DNF) 0.00%
358        2     105   0            50000        30000.00 (DNF) 0.00%
359        2     106   0            50000        30000.00 (DNF) 0.00%
360        2     107   0            50000        30000.00 (DNF) 0.00%
361        2     108   50000        50000        379.35         100.00%
362        2     109   0            50000        30000.00 (DNF) 0.00%
363        2     110   0            50000        30000.00 (DNF) 0.00%
364        2     111   0            50000        30000.00 (DNF) 0.00%
365        2     112   0            50000        30000.00 (DNF) 0.00%
366        2     113   1380         50000        30000.00 (DNF) 2.76%
367        2     114   50000        50000        8966.76        100.00%
368        2     115   0            50000        30000.00 (DNF) 0.00%
369        2     116   0            50000        30000.00 (DNF) 0.00%
370        2     117   0            50000        30000.00 (DNF) 0.00%
371        2     118   0            50000        30000.00 (DNF) 0.00%
372        2     119   0            50000        30000.00 (DNF) 0.00%
373        2     120   0            50000        30000.00 (DNF) 0.00%
374        2     121   0            50000        30000.00 (DNF) 0.00%
375        2     122   0            50000        30000.00 (DNF) 0.00%
376        2     123   0            50000        30000.00 (DNF) 0.00%
377        2     124   0            50000        30000.00 (DNF) 0.00%
378        2     125   0            50000        30000.00 (DNF) 0.00%
379        2     126   0            50000        30000.00 (DNF) 0.00%
380        2     127   0            50000        30000.00 (DNF) 0.00%
381        3     0     0            50000        30000.00 (DNF) 0.00%
382        3     1     1380         50000        30000.00 (DNF) 2.76%
383        3     2     0            50000        30000.00 (DNF) 0.00%
384        3     4     0            50000        30000.00 (DNF) 0.00%
385        3     5     0            50000        30000.00 (DNF) 0.00%
386        3     6     0            50000        30000.00 (DNF) 0.00%
387        3     7     0            50000        30000.00 (DNF) 0.00%
388        3     8     0            50000        30000.00 (DNF) 0.00%
389        3     9     0            50000        30000.00 (DNF) 0.00%
390        3     10    0            50000        30000.00 (DNF) 0.00%
391        3     11    0            50000        30000.00 (DNF) 0.00%
392        3     12    0            50000        30000.00 (DNF) 0.00%
393        3     13    0            50000        30000.00 (DNF) 0.00%
394        3     14    0            50000        30000.00 (DNF) 0.00%
395        3     15    0            50000        30000.00 (DNF) 0.00%
396        3     16    0            50000        30000.00 (DNF) 0.00%
397        3     17    0            50000        30000.00 (DNF) 0.00%
398        3     18    0            50000        30000.00 (DNF) 0.00%
399        3     19    0            50000        30000.00 (DNF) 0.00%
400        3     20    0            50000        30000.00 (DNF) 0.00%
401        3     21    0            50000        30000.00 (DNF) 0.00%
402        3     22    0            50000        30000.00 (DNF) 0.00%
403        3     23    0            50000        30000.00 (DNF) 0.00%
404        3     24    0            50000        30000.00 (DNF) 0.00%
405        3     25    0            50000        30000.00 (DNF) 0.00%
406        3     26    0            50000        30000.00 (DNF) 0.00%
407        3     27    0            50000        30000.00 (DNF) 0.00%
408        3     28    0            50000        30000.00 (DNF) 0.00%
409        3     29    0            50000        30000.00 (DNF) 0.00%
410        3     30    0            50000        30000.00 (DNF) 0.00%
411        3     31    0            50000        30000.00 (DNF) 0.00%
412        3     32    1380         50000        30000.00 (DNF) 2.76%
413        3     33    0            50000        30000.00 (DNF) 0.00%
414        3     34    5520         50000        30000.00 (DNF) 11.04%
415        3     35    0            50000        30000.00 (DNF) 0.00%
416        3     36    0            50000        30000.00 (DNF) 0.00%
417        3     37    0            50000        30000.00 (DNF) 0.00%
418        3     38    1380         50000        30000.00 (DNF) 2.76%
419        3     39    0            50000        30000.00 (DNF) 0.00%
420        3     40    0            50000        30000.00 (DNF) 0.00%
421        3     41    0            50000        30000.00 (DNF) 0.00%
422        3     42    0            50000        30000.00 (DNF) 0.00%
423        3     43    0            50000        30000.00 (DNF) 0.00%
424        3     44    0            50000        30000.00 (DNF) 0.00%
425        3     45    0            50000        30000.00 (DNF) 0.00%
426        3     46    0            50000        30000.00 (DNF) 0.00%
427        3     47    0            50000        30000.00 (DNF) 0.00%
428        3     48    1380         50000        30000.00 (DNF) 2.76%
429        3     49    0            50000        30000.00 (DNF) 0.00%
430        3     50    0            50000        30000.00 (DNF) 0.00%
431        3     51    0            50000        30000.00 (DNF) 0.00%
432        3     52    0            50000        30000.00 (DNF) 0.00%
433        3     53    0            50000        30000.00 (DNF) 0.00%
434        3     54    0            50000        30000.00 (DNF) 0.00%
435        3     55    0            50000        30000.00 (DNF) 0.00%
436        3     56    0            50000        30000.00 (DNF) 0.00%
437        3     57    0            50000        30000.00 (DNF) 0.00%
438        3     58    5520         50000        30000.00 (DNF) 11.04%
439        3     59    0            50000        30000.00 (DNF) 0.00%
440        3     60    0            50000        30000.00 (DNF) 0.00%
441        3     61    0            50000        30000.00 (DNF) 0.00%
442        3     62    0            50000        30000.00 (DNF) 0.00%
443        3     63    0            50000        30000.00 (DNF) 0.00%
444        3     64    0            50000        30000.00 (DNF) 0.00%
445        3     65    0            50000        30000.00 (DNF) 0.00%
446        3     66    0            50000        30000.00 (DNF) 0.00%
447        3     67    0            50000        30000.00 (DNF) 0.00%
448        3     68    0            50000        30000.00 (DNF) 0.00%
449        3     69    0            50000        30000.00 (DNF) 0.00%
450        3     70    0            50000        30000.00 (DNF) 0.00%
451        3     71    1380         50000        30000.00 (DNF) 2.76%
452        3     72    0            50000        30000.00 (DNF) 0.00%
453        3     73    0            50000        30000.00 (DNF) 0.00%
454        3     74    0            50000        30000.00 (DNF) 0.00%
455        3     75    0            50000        30000.00 (DNF) 0.00%
456        3     76    0            50000        30000.00 (DNF) 0.00%
457        3     77    0            50000        30000.00 (DNF) 0.00%
458        3     78    0            50000        30000.00 (DNF) 0.00%
459        3     79    0            50000        30000.00 (DNF) 0.00%
460        3     80    0            50000        30000.00 (DNF) 0.00%
461        3     81    0            50000        30000.00 (DNF) 0.00%
462        3     82    0            50000        30000.00 (DNF) 0.00%
463        3     83    0            50000        30000.00 (DNF) 0.00%
464        3     84    0            50000        30000.00 (DNF) 0.00%
465        3     85    0            50000        30000.00 (DNF) 0.00%
466        3     86    0            50000        30000.00 (DNF) 0.00%
467        3     87    0            50000        30000.00 (DNF) 0.00%
468        3     88    0            50000        30000.00 (DNF) 0.00%
469        3     89    2760         50000        30000.00 (DNF) 5.52%
470        3     90    0            50000        30000.00 (DNF) 0.00%
471        3     91    0            50000        30000.00 (DNF) 0.00%
472        3     92    0            50000        30000.00 (DNF) 0.00%
473        3     93    0            50000        30000.00 (DNF) 0.00%
474        3     94    50000        50000        1171.78        100.00%
475        3     95    0            50000        30000.00 (DNF) 0.00%
476        3     96    0            50000        30000.00 (DNF) 0.00%
477        3     97    0            50000        30000.00 (DNF) 0.00%
478        3     98    0            50000        30000.00 (DNF) 0.00%
479        3     99    0            50000        30000.00 (DNF) 0.00%
480        3     100   0            50000        30000.00 (DNF) 0.00%
481        3     101   0            50000        30000.00 (DNF) 0.00%
482        3     102   0            50000        30000.00 (DNF) 0.00%
483        3     103   0            50000        30000.00 (DNF) 0.00%
484        3     104   0            50000        30000.00 (DNF) 0.00%
485        3     105   0            50000        30000.00 (DNF) 0.00%
486        3     106   0            50000        30000.00 (DNF) 0.00%
487        3     107   0            50000        30000.00 (DNF) 0.00%
488        3     108   1380         50000        30000.00 (DNF) 2.76%
489        3     109   0            50000        30000.00 (DNF) 0.00%
490        3     110   2760         50000        30000.00 (DNF) 5.52%
491        3     111   0            50000        30000.00 (DNF) 0.00%
492        3     112   0            50000        30000.00 (DNF) 0.00%
493        3     113   0            50000        30000.00 (DNF) 0.00%
494        3     114   0            50000        30000.00 (DNF) 0.00%
495        3     115   0            50000        30000.00 (DNF) 0.00%
496        3     116   0            50000        30000.00 (DNF) 0.00%
