FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
230        156   184   29573        29573        0.38           100.00%
231        232   156   7156         7156         0.18           100.00%
232        1091  375   5926         5926         0.12           100.00%
233        547   652   6075         6075         0.12           100.00%
234        475   738   9272         9272         0.17           100.00%
235        323   402   5061         5061         0.12           100.00%
236        347   746   8170         8170         0.11           100.00%
237        523   792   6253         6253         0.15           100.00%
238        960   651   8723         8723         0.17           100.00%
239        1087  270   10296        10296        0.18           100.00%
240        472   163   7233         7233         0.18           100.00%
241        707   952   5963         5963         0.16           100.00%
242        575   149   4904         4904         0.09           100.00%
243        166   894   15459        15459        0.23           100.00%
244        844   701   205938       205938       1.88           100.00%
245        986   1093  5476         5476         0.17           100.00%
246        806   1043  17820        17820        0.22           100.00%
247        515   1133  9812         9812         0.15           100.00%
248        1052  206   9531         9531         0.20           100.00%
249        940   218   7832         7832         0.19           100.00%
250        840   245   5376         5376         0.13           100.00%
251        485   983   19663        19663        0.26           100.00%
252        136   907   13987        13987        0.21           100.00%
253        764   1113  46787        46787        0.53           100.00%
254        356   569   8412         8412         0.19           100.00%
255        1114  597   6346         6346         0.15           100.00%
256        632   811   6245         6245         0.18           100.00%
257        578   517   36095        36095        0.41           100.00%
258        1009  787   6908         6908         0.14           100.00%
259        691   998   5693         5693         0.14           100.00%
260        583   587   8060         8060         0.16           100.00%
261        613   333   9101         9101         0.20           100.00%
262        192   1073  8879         8879         0.23           100.00%
263        157   644   4831         4831         0.11           100.00%
264        226   1141  5886         5886         0.14           100.00%
265        941   1137  6753         6753         0.15           100.00%
266        1069  325   19635        19635        0.26           100.00%
267        254   356   8105         8105         0.19           100.00%
268        997   323   11642        11642        0.17           100.00%
269        128   375   6315         6315         0.15           100.00%
270        626   488   28979        28979        0.38           100.00%
271        223   734   7176         7176         0.21           100.00%
272        209   166   35513        35513        0.44           100.00%
273        892   779   27610        27610        0.37           100.00%
274        487   557   7778         7778         0.10           100.00%
275        616   712   9108         9108         0.17           100.00%
276        440   400   8613         8613         0.20           100.00%
277        303   811   13726        13726        0.24           100.00%
278        280   735   6865         6865         0.18           100.00%
279        572   1144  7180         7180         0.13           100.00%
280        341   305   12421        12421        0.15           100.00%
281        407   1025  8270         8270         0.16           100.00%
282        803   908   13138        13138        0.24           100.00%
283        191   830   6520         6520         0.15           100.00%
284        598   198   13983        13983        0.27           100.00%
285        345   830   31466        31466        0.44           100.00%
286        334   752   6528         6528         0.18           100.00%
287        1126  288   9699         9699         0.21           100.00%
288        301   153   28879        28879        0.34           100.00%
289        640   397   57353        57353        0.59           100.00%
290        299   1131  5339         5339         0.17           100.00%
291        129   1104  5802         5802         0.14           100.00%
292        1037  141   5233         5233         0.13           100.00%
293        735   613   6049         6049         0.17           100.00%
294        486   132   5620         5620         0.17           100.00%
295        696   913   8631         8631         0.20           100.00%
296        693   1128  4957         4957         0.13           100.00%
297        532   978   37877        37877        0.42           100.00%
298        577   164   5641         5641         0.16           100.00%
299        674   809   11310        11310        0.22           100.00%
300        449   534   5197         5197         0.15           100.00%
301        610   552   4860         4860         0.11           100.00%
302        167   1027  6944         6944         0.13           100.00%
303        527   1059  5336         5336         0.13           100.00%
304        811   142   7157         7157         0.10           100.00%
305        498   558   5699         5699         0.14           100.00%
306        1090  945   12159        12159        0.20           100.00%
307        1096  888   5275         5275         0.16           100.00%
308        512   844   87791        87791        1.16           100.00%
309        1015  201   15216        15216        0.26           100.00%
310        1017  134   7234         7234         0.17           100.00%
311        137   187   6833         6833         0.18           100.00%
312        693   319   11432        11432        0.22           100.00%
313        477   284   11215        11215        0.19           100.00%
314        972   330   933418       933418       8.18           100.00%
315        882   573   77988        77988        0.74           100.00%
316        296   1116  7861         7861         0.16           100.00%
317        503   1061  6733         6733         0.12           100.00%
318        769   623   5229         5229         0.16           100.00%
319        234   1133  156312       156312       2.28           100.00%
320        302   551   108300       108300       1.07           100.00%
321        291   1044  5260         5260         0.16           100.00%
322        866   210   14249        14249        0.30           100.00%
323        470   442   63417        63417        0.62           100.00%
324        1124  678   4977         4977         0.14           100.00%
325        302   1088  5585         5585         0.14           100.00%
326        965   722   33069        33069        0.38           100.00%
327        389   732   85154        85154        0.83           100.00%
328        747   1027  25741        25741        0.35           100.00%
329        419   931   9331         9331         0.23           100.00%
330        264   700   8119         8119         0.16           100.00%
331        557   433   21377        21377        0.28           100.00%
